builtin	shape	params	ok	code	category	recoverable	message
solve_full	symbol	3	False	InvalidOperation	DomainError	True	solve(): argument 3 (domain) must be a domain value such as real or complex.
solve_system	scalar	2	False	InvalidArgument	TypeMismatch	True	solve_system(): argument 1 must be a list of equations, e.g. [x + y == 2, x - y == 0]; got Natural.
solve_system	vector	2	False	InvalidArgument	TypeMismatch	True	solve_system(): argument 2 must be a list of parameter symbols, e.g. [x, y]; got Vector.
solve_system	symbol	2	False	InvalidArgument	TypeMismatch	True	solve_system(): argument 1 must be a list of equations, e.g. [x + y == 2, x - y == 0]; got Symbolic.
solve_system_full	scalar	2	False	InvalidArgument	TypeMismatch	True	solve_system_full(): argument 1 must be a list of equations, e.g. [x + y == 2, x - y == 0]; got Natural.
solve_system_full	vector	2	False	InvalidArgument	TypeMismatch	True	solve_system_full(): argument 2 must be a list of parameter symbols, e.g. [x, y]; got Vector.
solve_system_full	symbol	2	False	InvalidArgument	TypeMismatch	True	solve_system_full(): argument 1 must be a list of equations, e.g. [x + y == 2, x - y == 0]; got Symbolic.
sqrt	scalar	1	True	-	-	-	
sqrt	vector	1	False	InvalidOperation	DomainError	True	Cannot widen from Vector to Real: only numeric kinds (Natural, Integer, Real) support widening.
sqrt	symbol	1	True	-	-	-	
squeeze	scalar	1	False	InternalError	InternalInvariantFailure	False	Unable to cast object of type 'Lovelace.Natural.Natural' to type 'Lovelace.Abstractions.ArrayValue'.
squeeze	vector	1	True	-	-	-	
squeeze	symbol	1	False	InternalError	InternalInvariantFailure	False	Unable to cast object of type 'Lovelace.Symbolics.SymbolExpr' to type 'Lovelace.Abstractions.ArrayValue'.
step	scalar	1	True	-	-	-	
step	vector	1	False	InvalidOperation	DomainError	True	step() expects a Natural or Integer argument, but got 'PayloadArray'.
step	symbol	1	False	InvalidOperation	DomainError	True	step() expects a Natural or Integer argument, but got 'SymbolExpr'.
subs	scalar	3	False	InvalidArgument	TypeMismatch	True	subs(): argument 2 must be a symbolic variable; got Natural.
subs	vector	3	False	InvalidArgument	TypeMismatch	True	subs(): argument 1 must be a symbolic expression; got Vector.
subs	symbol	3	True	-	-	-	
sum	scalar	2	False	InvalidArgument	TypeMismatch	True	sum(): argument 1 must be an array or vector; got Natural.
sum	vector	2	False	InvalidOperation	DomainError	True	Index must be Natural or Integer, but got 'Vector'.
sum	symbol	2	False	InvalidArgument	TypeMismatch	True	sum(): argument 1 must be an array or vector; got Symbolic.
symbol	scalar	2	False	InternalError	InternalInvariantFailure	False	Unable to cast object of type 'Lovelace.Natural.Natural' to type 'System.String'.
symbol	vector	2	False	InternalError	InternalInvariantFailure	False	Unable to cast object of type 'Lovelace.Abstractions.PayloadArray' to type 'System.String'.
symbol	symbol	2	False	InternalError	InternalInvariantFailure	False	Unable to cast object of type 'Lovelace.Symbolics.SymbolExpr' to type 'System.String'.
tan	scalar	1	True	-	-	-	
tan	vector	1	False	InvalidArgument	TypeMismatch	True	tan(): argument 1 must be a symbolic expression; got Vector.
tan	symbol	1	True	-	-	-	
tanh	scalar	1	True	-	-	-	
tanh	vector	1	False	InvalidArgument	TypeMismatch	True	tanh(): argument 1 must be a symbolic expression; got Vector.
tanh	symbol	1	True	-	-	-	
trace	scalar	1	False	InternalError	InternalInvariantFailure	False	Unable to cast object of type 'Lovelace.Natural.Natural' to type 'Lovelace.Abstractions.ArrayValue'.
trace	vector	1	False	InvalidArgument	TypeMismatch	True	trace() requires a square matrix.
trace	symbol	1	False	InternalError	InternalInvariantFailure	False	Unable to cast object of type 'Lovelace.Symbolics.SymbolExpr' to type 'Lovelace.Abstractions.ArrayValue'.
transpose	scalar	2	False	InternalError	InternalInvariantFailure	False	Unable to cast object of type 'Lovelace.Natural.Natural' to type 'Lovelace.Abstractions.ArrayValue'.
transpose	vector	2	False	InvalidArgument	TypeMismatch	True	transpose() expects a permutation of 1 axes. (Parameter 'permutation')
transpose	symbol	2	False	InternalError	InternalInvariantFailure	False	Unable to cast object of type 'Lovelace.Symbolics.SymbolExpr' to type 'Lovelace.Abstractions.ArrayValue'.
type	scalar	1	True	-	-	-	
type	vector	1	True	-	-	-	
type	symbol	1	True	-	-	-	
zeros	scalar	1	True	-	-	-	
zeros	vector	1	False	InvalidOperation	DomainError	True	Index must be Natural or Integer, but got 'Vector'.
zeros	symbol	1	False	InvalidOperation	DomainError	True	Index must be Natural or Integer, but got 'Symbolic'.
